DIASEMANA,MESOCU,ANOOCU,RHORA,REGION,PROVINCIA,TVIA,TIPOACCIDENTE,SALDOTRAG,MEDIOTRANS,VEHICHOQUE,VEHICUVOLC,VEHICUATRO,VEHICAIDA,VEHIDESLI,ESTRECON,APLASTAM
6,3,2007,4,9,23,4,3,1,25, , ,2, , , , 
6,3,2007,5,9,23,4,4,1,2, , , ,2, , , 
7,3,2007,3,10,32,4,1,1,2,1, , , , , , 
7,3,2007,10,5,21,4,1,1,2,2, , , , , , 
7,3,2007,10,10,32,4,3,1,25, , ,99, , , , 
7,3,2007,4,1,9,4,5,1,2, , , , ,2, , 
7,3,2007,9,10,32,1,5,1,2, , , , ,2, , 
7,3,2007,11,5,21,4,6,1,2, , , , , ,99, 
7,3,2007,1,10,32,4,6,1,2, , , , , ,99, 
1,3,2007,6,5,21,4,1,1,2,4, , , , , , 
1,3,2007,11,2,28,4,1,1,8,99, , , , , , 
2,3,2007,11,6,10,4,1,2,2,2, , , , , , 
2,3,2007,7,9,30,4,3,4,25, , ,3, , , , 
2,3,2007,11,10,1,4,5,1,1, , , , ,1, , 
3,3,2007,5,10,1,2,3,1,25, , ,99, , , , 
4,3,2007,10,1,25,2,3,1,25, , ,99, , , , 
4,3,2007,7,1,9,4,5,1,2, , , , ,2, , 
5,3,2007,4,2,13,1,1,1,2,1, , , , , , 
5,3,2007,1,8,11,4,1,1,2,2, , , , , , 
5,3,2007,12,2,28,4,1,1,2,3, , , , , , 
5,3,2007,6,10,32,1,3,1,25, , ,1, , , , 
5,3,2007,10,5,21,4,3,1,25, , ,2, , , , 
5,3,2007,8,1,25,3,3,1,25, , ,4, , , , 
5,3,2007,6,10,32,2,3,1,25, , ,4, , , , 
5,3,2007,5,3,20,4,5,1,2, , , , ,2, , 
6,3,2007,6,8,11,4,1,1,2,1, , , , , , 
6,3,2007,5,5,17,4,1,1,2,2, , , , , , 
6,3,2007,3,10,1,3,1,1,2,4, , , , , , 
6,3,2007,10,2,13,4,1,5,3,4, , , , , , 
6,3,2007,10,10,1,2,3,1,25, , ,1, , , , 
6,3,2007,11,1,25,4,3,1,25, , ,3, , , , 
6,3,2007,7,9,29,4,3,1,25, , ,8, , , , 
6,3,2007,11,5,21,4,3,1,25, , ,99, , , , 
6,3,2007,5,10,32,1,3,1,25, , ,99, , , , 
6,3,2007,4,8,11,4,5,1,2, , , , ,2, , 
7,4,2007,7,8,11,4,1,1,2,1, , , , , , 
1,4,2007,8,5,21,3,1,1,2,1, , , , , , 
1,4,2007,4,4,27,3,2,1,3, ,3, , , , , 
1,4,2007,10,10,32,2,3,1,25, , ,6, , , , 
1,4,2007,5,10,1,3,3,1,25, , ,99, , , , 
1,4,2007,1,2,24,4,5,1,2, , , , ,2, , 
2,4,2007,10,8,11,4,1,1,2,1, , , , , , 
2,4,2007,9,2,28,3,1,1,2,2, , , , , , 
2,4,2007,6,3,20,4,1,2,6,4, , , , , , 
2,4,2007,10,10,32,1,3,1,25, , ,2, , , , 
2,4,2007,11,10,32,2,3,1,25, , ,3, , , , 
2,4,2007,9,8,12,1,4,1,4, , , ,4, , , 
3,4,2007,10,1,18,4,1,1,2,1, , , , , , 
3,4,2007,9,9,23,3,1,1,2,5, , , , , , 
3,4,2007,5,10,32,1,1,1,3,3, , , , , , 
3,4,2007,10,8,11,4,3,1,25, , ,3, , , , 
3,4,2007,12,1,25,3,3,1,25, , ,99, , , , 
3,4,2007,6,6,4,4,5,1,2, , , , ,2, , 
4,4,2007,2,1,18,3,1,1,2,1, , , , , , 
4,4,2007,2,1,18,4,1,1,2,1, , , , , , 
4,4,2007,9,2,28,4,2,1,3, ,3, , , , , 
5,4,2007,6,10,32,4,1,1,2,1, , , , , , 
5,4,2007,6,1,18,4,1,1,2,2, , , , , , 
5,4,2007,8,3,6,4,3,1,25, , ,2, , , , 
5,4,2007,3,4,27,4,3,1,25, , ,3, , , , 
6,4,2007,9,1,9,4,1,1,2,1, , , , , , 
6,4,2007,5,5,21,3,1,1,2,1, , , , , , 
6,4,2007,9,7,7,4,1,1,2,2, , , , , , 
6,4,2007,12,5,21,4,1,1,2,2, , , , , , 
6,4,2007,11,5,17,4,1,1,2,4, , , , , , 
6,4,2007,11,5,21,1,2,1,8, ,8, , , , , 
6,4,2007,3,5,2,4,3,1,25, , ,99, , , , 
6,4,2007,10,10,32,1,3,1,25, , ,99, , , , 
6,4,2007,5,5,21,1,5,1,2, , , , ,2, , 
6,4,2007,10,5,21,4,5,1,2, , , , ,2, , 
7,4,2007,12,8,11,4,1,1,2,1, , , , , , 
7,4,2007,4,5,21,3,1,1,2,1, , , , , , 
